tamaño_m2,habitaciones,baños,estacionamientos,antigüedad_años,zona,cercania_transporte,precio_miles_mxn
89.0,5,1,0,28,Centro,Baja,1871.01
118.5,3,3,2,32,Residencial,Media,2261.44
79.1,1,2,1,9,Periferia,Alta,1513.98
119.1,2,3,2,49,Industrial,Alta,1871.41
30.0,4,2,1,39,Industrial,Media,509.64
100.5,3,2,0,20,Residencial,Baja,1787.36
82.2,3,2,2,27,Centro,Baja,1761.76
72.5,1,1,2,10,Residencial,Media,1649.66
82.3,4,3,1,33,Centro,Alta,2192.5
30.3,5,3,2,7,Centro,Alta,1638.64
74.5,3,2,1,21,Residencial,Baja,1369.85
88.9,1,1,1,7,Centro,Alta,2024.51
116.9,5,1,1,48,Periferia,Alta,1746.34
67.0,4,3,1,14,Industrial,Alta,1516.61
59.8,3,1,0,16,Periferia,Media,1100.28
67.5,5,1,1,22,Centro,Baja,1646.94
102.9,5,2,2,23,Industrial,Alta,1701.7
88.2,5,1,0,44,Centro,Media,1758.22
66.8,3,2,2,18,Residencial,Media,1635.33
92.8,3,3,0,4,Industrial,Baja,1407.74
82.4,2,1,1,31,Industrial,Alta,1238.05
104.2,4,3,0,43,Residencial,Media,1815.01
62.4,1,3,0,0,Periferia,Alta,1464.41
71.8,5,1,2,22,Centro,Baja,1837.38
70.2,2,1,2,36,Residencial,Media,1381.51
43.4,1,3,1,7,Residencial,Alta,1482.59
87.4,2,1,0,12,Periferia,Media,1438.39
86.5,3,2,0,7,Centro,Media,2050.98
80.1,5,2,0,22,Centro,Alta,1858.91
74.1,1,1,1,42,Centro,Baja,1464.54
44.6,1,3,1,0,Residencial,Alta,1378.05
69.5,1,1,1,44,Periferia,Media,1079.55
71.4,1,1,1,23,Industrial,Media,1002.87
59.9,1,3,1,34,Residencial,Media,1331.37
76.0,2,3,2,23,Centro,Alta,2018.57
90.1,5,2,0,16,Residencial,Baja,1714.68
127.2,3,3,0,4,Periferia,Media,2193.31
84.4,3,2,0,19,Periferia,Media,1611.05
86.4,3,3,0,20,Residencial,Media,1625.79
78.1,3,1,0,39,Residencial,Media,1374.15
32.0,2,2,0,30,Residencial,Alta,980.15
79.3,4,2,0,45,Centro,Alta,1737.4
81.5,5,2,0,35,Centro,Baja,1725.53
141.6,1,1,2,10,Residencial,Alta,2542.51
75.2,4,1,0,14,Centro,Media,1937.16
87.5,3,1,2,18,Periferia,Baja,1460.62
79.1,4,1,1,6,Centro,Alta,1986.78
50.8,5,1,0,27,Residencial,Media,1364.89
108.6,1,2,1,42,Centro,Media,1766.8
98.8,1,1,1,4,Residencial,Media,1710.08
99.8,5,2,1,4,Industrial,Alta,1555.44
57.3,5,1,2,29,Centro,Alta,1626.03
115.1,3,3,1,31,Centro,Media,2219.5
45.0,1,2,1,7,Periferia,Baja,1062.77
94.7,4,3,1,9,Residencial,Media,1735.29
134.8,2,2,0,37,Centro,Media,2310.93
55.2,2,3,0,46,Periferia,Alta,1174.36
65.8,5,1,2,31,Centro,Media,1765.67
82.5,3,1,2,47,Residencial,Alta,1791.17
67.4,2,1,0,27,Periferia,Baja,1049.91
41.2,1,2,2,16,Residencial,Baja,1101.83
81.7,5,3,0,30,Industrial,Media,1176.55
53.4,4,1,1,7,Centro,Baja,1406.97
91.8,5,3,1,39,Residencial,Alta,1798.33
57.0,4,3,2,24,Centro,Media,1781.26
118.7,5,1,0,8,Residencial,Alta,2329.27
60.4,5,1,0,1,Residencial,Baja,1461.15
71.9,5,3,2,14,Residencial,Alta,1814.66
100.3,4,1,0,49,Centro,Media,1821.31
49.2,4,1,1,2,Centro,Baja,1501.34
85.7,5,1,2,48,Periferia,Alta,1511.46
112.7,2,2,2,35,Periferia,Alta,1775.36
39.8,3,3,0,3,Centro,Media,1441.76
84.6,3,3,2,13,Periferia,Media,1594.13
86.5,3,2,0,40,Centro,Alta,1821.33
99.5,4,3,0,40,Periferia,Alta,1651.42
49.1,4,1,0,24,Residencial,Alta,1374.07
47.0,2,3,0,49,Periferia,Baja,954.6
93.0,3,1,0,9,Centro,Media,1977.1
87.4,3,2,2,20,Periferia,Alta,1721.04
86.3,5,1,1,35,Centro,Alta,2064.24
88.7,4,3,1,11,Industrial,Alta,1666.06
63.0,3,3,2,26,Centro,Alta,1751.31
85.8,2,3,2,39,Residencial,Media,1866.58
87.3,2,2,1,1,Industrial,Alta,1426.87
62.1,3,2,1,12,Residencial,Alta,1660.01
126.6,4,3,1,31,Residencial,Media,2337.22
91.8,2,1,1,30,Residencial,Alta,1555.76
50.2,5,2,1,15,Industrial,Media,1001.52
96.4,2,3,0,31,Residencial,Media,1787.46
55.6,1,3,2,31,Periferia,Media,1135.52
99.7,1,2,0,33,Residencial,Media,1731.54
109.0,4,2,1,10,Periferia,Media,1993.77
59.5,3,2,1,9,Residencial,Baja,1378.25
104.1,4,1,1,14,Periferia,Media,1814.66
90.3,4,1,0,16,Centro,Media,1959.1
100.6,4,3,0,39,Centro,Baja,1890.47
127.4,4,2,1,17,Centro,Media,2507.04
73.9,5,1,0,8,Centro,Alta,2031.71
61.2,5,2,0,24,Centro,Alta,1895.28
57.8,2,3,1,39,Periferia,Alta,1272.33
59.6,1,1,0,13,Centro,Baja,1493.64
78.1,4,1,2,24,Residencial,Media,1699.09
88.5,2,1,2,49,Centro,Baja,1743.39
86.9,1,3,2,21,Centro,Media,2041.54
100.7,3,2,2,29,Residencial,Media,1891.06
80.3,5,1,1,19,Periferia,Alta,1691.2
116.3,1,3,1,20,Centro,Media,2171.54
73.4,3,2,1,43,Residencial,Media,1510.78
148.0,1,3,2,31,Residencial,Baja,2388.7
95.6,5,2,2,45,Periferia,Alta,1877.31
58.6,5,3,0,48,Periferia,Media,1275.28
53.2,2,2,0,20,Industrial,Media,964.81
92.1,4,1,2,34,Residencial,Media,1765.26
74.4,1,2,2,31,Periferia,Media,1253.26
97.9,1,3,2,29,Residencial,Media,1812.31
91.8,3,3,2,38,Centro,Alta,2148.23
78.2,5,2,0,48,Periferia,Media,1187.53
58.8,1,1,2,11,Centro,Media,1673.78
42.1,5,1,0,40,Residencial,Baja,1019.59
68.8,1,2,2,46,Periferia,Baja,1004.1
101.4,2,2,2,17,Residencial,Alta,1778.83
85.4,4,3,2,20,Centro,Alta,2181.12
48.9,1,1,0,12,Centro,Baja,1216.95
84.3,5,2,0,20,Periferia,Media,1491.9
89.6,2,1,1,7,Residencial,Baja,1572.9
57.9,1,2,2,45,Periferia,Alta,1117.14
83.8,3,2,1,39,Centro,Media,1761.78
81.5,4,1,1,45,Residencial,Baja,1510.19
51.4,1,2,0,6,Centro,Baja,1281.92
88.9,2,2,0,22,Industrial,Alta,1392.26
94.0,3,3,1,43,Centro,Media,2101.0
107.1,2,2,2,31,Residencial,Media,1926.54
106.3,2,2,0,10,Centro,Alta,2281.2
45.6,3,2,2,21,Industrial,Media,921.47
56.6,2,3,2,21,Periferia,Media,1235.0
92.9,3,1,1,42,Centro,Baja,1748.1
92.8,1,3,1,24,Periferia,Media,1506.46
92.9,3,3,1,21,Centro,Alta,2194.9
176.3,3,1,1,27,Centro,Alta,3002.27
94.3,4,3,0,28,Industrial,Media,1626.21
108.4,3,1,0,12,Periferia,Alta,1931.91
103.9,3,3,1,17,Residencial,Media,1886.52
96.3,1,1,0,1,Residencial,Alta,1720.88
72.1,4,2,1,28,Residencial,Baja,1472.15
99.0,5,3,2,20,Centro,Baja,2158.47
60.7,1,3,2,14,Centro,Media,1650.08
74.1,1,3,2,26,Residencial,Baja,1534.32
67.9,5,3,1,49,Industrial,Media,1171.37
82.0,3,2,2,30,Centro,Media,1914.56
137.9,2,3,0,14,Centro,Alta,2809.42
33.3,4,2,2,22,Periferia,Media,850.71
97.2,2,2,2,23,Industrial,Media,1461.79
39.7,5,2,2,43,Centro,Baja,1253.49
68.2,1,2,0,12,Periferia,Media,1371.94
107.2,1,1,1,21,Residencial,Baja,1510.46
81.6,4,1,0,42,Centro,Media,1512.65
53.1,1,3,1,36,Centro,Alta,1557.66
62.1,1,1,1,32,Residencial,Baja,1247.83
97.0,4,1,2,2,Industrial,Media,1671.33
61.7,4,3,1,18,Centro,Alta,1790.3
85.4,5,3,0,22,Periferia,Media,1795.44
81.1,1,3,0,28,Periferia,Alta,1340.05
63.7,1,1,1,29,Periferia,Media,1200.15
133.6,5,1,2,38,Residencial,Media,2193.28
95.8,3,3,2,43,Periferia,Media,1609.42
30.0,3,2,0,46,Periferia,Baja,663.93
84.7,3,3,2,24,Periferia,Media,1459.78
63.5,5,2,1,36,Periferia,Alta,1538.9
101.3,1,2,1,46,Periferia,Media,1459.81
60.2,5,3,0,7,Residencial,Baja,1531.13
77.1,5,3,1,41,Centro,Alta,2106.42
92.6,3,3,0,15,Residencial,Alta,1886.89
101.6,2,1,1,7,Residencial,Alta,2090.28
50.0,1,2,0,0,Centro,Alta,1734.05
71.6,3,1,2,43,Periferia,Baja,1068.64
68.1,2,1,1,4,Periferia,Media,1434.14
63.7,2,3,1,2,Centro,Alta,1698.34
124.1,4,1,0,0,Periferia,Media,2088.16
90.1,1,3,0,3,Centro,Alta,1973.34
48.5,2,2,1,39,Centro,Baja,1341.26
102.9,3,3,0,34,Residencial,Baja,1880.85
133.1,4,1,1,31,Centro,Alta,2749.94
105.8,1,1,2,41,Residencial,Baja,1796.73
42.0,5,3,0,33,Periferia,Media,1052.42
67.9,3,3,1,42,Residencial,Alta,1466.63
111.7,2,1,2,24,Periferia,Alta,1916.97
62.3,2,2,2,9,Centro,Media,1696.53
91.1,3,2,1,20,Residencial,Media,1958.32
99.4,2,3,0,45,Centro,Baja,1631.16
56.8,4,2,1,38,Periferia,Media,1370.41
78.5,1,1,2,26,Industrial,Baja,1055.2
30.0,4,3,1,26,Centro,Media,1268.7
54.4,2,1,0,1,Periferia,Baja,1081.2
73.7,5,1,2,40,Residencial,Media,1704.14
48.8,1,2,1,47,Residencial,Alta,1172.03
120.8,1,3,0,12,Residencial,Media,1943.11
44.2,3,3,2,8,Centro,Baja,1471.02
69.0,3,2,0,35,Residencial,Alta,1626.94
83.3,5,1,2,21,Centro,Baja,1934.27
116.0,1,1,1,41,Residencial,Alta,1921.35
44.1,5,1,0,25,Industrial,Media,945.03
109.1,3,1,2,11,Residencial,Baja,2018.13
80.3,3,3,0,16,Residencial,Alta,1895.23
55.5,1,3,0,13,Centro,Alta,1589.94
91.6,4,2,1,13,Residencial,Media,1843.46
85.0,2,2,0,33,Residencial,Baja,1305.0
65.0,3,3,2,19,Centro,Alta,1869.06
81.7,3,3,2,10,Residencial,Baja,1833.94
70.4,4,1,2,15,Centro,Alta,1889.39
82.8,4,1,2,30,Residencial,Baja,1628.15
96.6,5,2,1,5,Residencial,Baja,2055.32
119.7,5,3,0,18,Residencial,Media,2313.68
49.1,2,2,1,36,Centro,Media,1416.25
133.3,2,3,0,3,Periferia,Media,2028.82
31.2,1,1,0,46,Periferia,Media,522.14
76.2,5,2,0,3,Industrial,Alta,1642.06
94.7,3,2,1,19,Periferia,Alta,1761.78
87.0,5,3,0,9,Periferia,Alta,2018.67
64.4,3,1,1,23,Residencial,Media,1335.49
74.8,4,2,2,34,Periferia,Alta,1550.99
67.7,5,1,2,25,Residencial,Media,1539.13
65.3,4,2,0,36,Residencial,Baja,1382.8
101.2,2,1,1,37,Residencial,Alta,1918.9
88.9,2,3,2,20,Periferia,Media,1687.05
62.7,1,2,1,39,Periferia,Media,1171.59
102.5,5,2,1,38,Centro,Baja,2048.68
87.7,4,1,0,20,Centro,Baja,1793.35
100.3,3,1,2,9,Centro,Baja,1872.78
95.7,2,2,0,37,Centro,Baja,1847.25
59.3,2,3,0,45,Residencial,Alta,1383.82
66.0,3,1,2,3,Residencial,Baja,1460.21
98.7,4,1,2,44,Periferia,Media,1585.32
95.3,4,1,1,19,Residencial,Alta,1944.91
79.5,5,2,2,16,Industrial,Baja,1300.38
82.9,5,2,1,6,Residencial,Alta,1922.0
111.9,1,2,1,3,Residencial,Media,2061.76
65.2,2,2,1,28,Periferia,Alta,1350.82
93.7,5,3,2,13,Periferia,Media,1792.34
74.9,4,3,0,2,Centro,Media,1928.73
74.6,3,2,1,23,Periferia,Media,1369.74
107.5,4,3,0,36,Industrial,Media,1590.48
100.6,2,1,0,15,Residencial,Alta,1879.38
100.3,4,1,2,3,Centro,Baja,2194.57
112.6,1,1,0,23,Periferia,Alta,1580.96
80.5,2,2,0,33,Residencial,Media,1373.5
97.0,3,1,2,29,Centro,Baja,1928.36
72.2,1,3,1,17,Periferia,Baja,1191.13
88.1,2,2,0,18,Residencial,Media,1775.62
76.7,3,3,2,30,Periferia,Media,1597.38
82.4,1,1,0,18,Centro,Baja,1632.17
94.9,1,1,0,48,Periferia,Baja,1101.6
59.5,2,1,1,45,Residencial,Media,1294.46
132.3,5,2,0,18,Periferia,Alta,2287.49
54.8,1,3,2,21,Centro,Alta,1513.91
49.6,1,2,0,23,Periferia,Alta,910.35
109.0,3,2,1,44,Periferia,Media,1849.69
99.8,4,1,1,11,Periferia,Alta,1977.71
95.6,2,2,2,29,Residencial,Media,1550.49
95.7,2,2,1,37,Centro,Alta,1887.62
79.7,5,1,0,30,Residencial,Alta,1830.49
57.6,5,2,1,35,Centro,Baja,1524.35
81.9,2,1,2,18,Periferia,Media,1502.98
63.1,5,1,1,47,Centro,Alta,1666.0
104.4,3,1,1,44,Periferia,Baja,1548.25
76.3,2,1,1,35,Periferia,Alta,1341.18
59.4,5,2,2,29,Periferia,Media,1274.04
72.0,2,1,1,48,Centro,Media,1629.87
90.3,4,1,1,32,Residencial,Alta,1843.81
65.9,1,2,0,17,Centro,Baja,1541.04
59.4,2,2,2,48,Residencial,Media,1288.54
86.1,1,3,1,27,Industrial,Media,1219.56
86.1,5,2,2,46,Periferia,Alta,1814.04
67.3,1,2,1,10,Periferia,Alta,1403.1
68.2,2,3,1,44,Periferia,Baja,1082.9
85.8,4,2,1,32,Centro,Alta,2157.43
43.8,5,2,0,16,Periferia,Media,983.52
44.8,2,2,0,5,Residencial,Media,1456.23
62.0,5,2,0,3,Periferia,Media,1381.09
74.7,3,3,2,19,Centro,Alta,1884.6
87.8,1,2,2,47,Residencial,Alta,1859.19
116.9,3,2,0,46,Periferia,Media,1696.48
101.4,2,3,2,26,Residencial,Alta,2071.12
76.0,4,1,1,14,Periferia,Alta,1613.77
79.5,5,3,1,5,Periferia,Alta,1917.42
54.9,1,1,1,46,Centro,Media,1308.78
79.5,5,3,0,13,Centro,Baja,1854.27
72.8,2,3,2,10,Industrial,Alta,1405.5
88.1,5,2,0,38,Centro,Alta,1995.27
59.3,1,1,2,8,Industrial,Alta,1086.5
93.0,2,2,1,25,Periferia,Media,1713.81
118.3,5,1,0,15,Centro,Media,2430.19
77.3,4,3,2,4,Centro,Media,2088.26
90.0,2,3,2,9,Centro,Media,2168.85
97.3,2,1,1,49,Industrial,Media,1303.61
70.0,4,2,0,2,Periferia,Baja,1242.21
85.6,3,2,0,12,Periferia,Baja,1441.37
80.3,1,2,0,42,Periferia,Alta,1579.85
82.4,3,2,1,48,Centro,Alta,1980.08
60.7,5,3,0,29,Periferia,Alta,1363.06
80.6,4,3,1,44,Centro,Alta,1906.88
92.4,3,3,1,5,Residencial,Baja,1790.15
116.3,2,3,1,16,Periferia,Media,2022.23
104.0,5,3,2,44,Periferia,Alta,2098.76
133.8,5,2,0,18,Periferia,Media,2243.82
60.8,3,2,0,41,Periferia,Media,1110.32
101.8,3,2,1,34,Industrial,Alta,1517.18
84.6,4,2,1,45,Periferia,Alta,1583.14
134.7,1,3,0,25,Centro,Media,2339.39
59.8,3,3,1,4,Residencial,Media,1374.02
59.0,3,3,0,28,Centro,Alta,1861.68
65.0,2,1,2,36,Centro,Alta,1539.42
30.0,5,2,1,19,Industrial,Media,742.52
66.9,1,2,0,48,Residencial,Alta,1398.44
61.0,2,3,1,20,Industrial,Media,1195.45
83.8,4,2,0,9,Periferia,Media,1606.31
88.5,4,2,0,4,Periferia,Alta,1642.63
126.9,3,3,1,35,Centro,Baja,2287.67
103.8,3,1,2,5,Centro,Media,2142.75
65.6,4,1,0,25,Residencial,Alta,1518.38
57.5,3,1,0,3,Periferia,Media,1308.2
92.3,1,3,0,38,Residencial,Media,1393.86
47.0,3,2,2,38,Residencial,Media,1182.86
125.8,5,3,2,49,Centro,Alta,2526.2
109.5,3,3,1,34,Periferia,Baja,1588.32
68.3,2,2,2,0,Residencial,Media,1678.15
37.2,1,1,1,23,Centro,Alta,1139.9
113.8,2,1,1,35,Residencial,Alta,1860.61
77.1,2,3,2,5,Periferia,Alta,1745.31
110.9,5,1,1,40,Centro,Baja,2230.86
40.1,1,3,2,45,Periferia,Alta,958.59
65.0,1,3,1,43,Industrial,Alta,913.26
80.1,1,2,2,30,Centro,Baja,1590.64
81.2,1,2,2,19,Residencial,Alta,1830.2
68.7,1,2,1,23,Centro,Alta,1731.04
95.6,5,3,0,24,Residencial,Alta,2047.1
53.3,3,2,1,35,Residencial,Alta,1405.9
76.4,2,1,2,20,Periferia,Alta,1453.03
83.0,1,1,0,29,Periferia,Media,1415.57
92.9,3,3,1,23,Residencial,Alta,1894.89
97.8,3,3,1,43,Periferia,Alta,1642.2
51.9,2,2,1,41,Residencial,Media,1039.45
41.6,5,3,0,29,Centro,Media,1430.2
111.9,4,3,2,21,Residencial,Media,2088.6
88.3,4,1,1,27,Residencial,Media,1746.41
61.3,3,1,1,6,Industrial,Alta,1157.69
118.8,2,2,1,34,Centro,Media,2107.69
82.9,4,3,1,27,Periferia,Media,1638.71
109.5,3,3,1,13,Periferia,Alta,2170.68
81.7,5,1,2,9,Periferia,Baja,1561.18
131.5,4,3,2,15,Periferia,Alta,2108.65
123.9,3,1,1,15,Centro,Media,2560.51
73.8,3,2,0,30,Residencial,Alta,1680.29
104.3,1,1,2,41,Periferia,Media,1732.24
96.1,5,3,0,24,Centro,Media,2272.27
114.2,1,2,2,12,Residencial,Baja,2089.45
55.9,2,1,1,5,Periferia,Alta,1266.33
97.2,1,1,2,43,Centro,Media,1815.17
106.5,1,2,1,8,Industrial,Media,1585.35
36.0,4,2,2,44,Industrial,Media,641.12
50.4,3,1,1,35,Periferia,Media,1023.19
30.0,5,3,1,42,Centro,Media,1057.32
73.3,1,1,1,19,Residencial,Media,1438.89
97.9,5,2,1,17,Periferia,Alta,2034.27
117.6,1,1,0,42,Periferia,Media,1620.63
81.9,2,2,1,20,Periferia,Alta,1715.55
120.7,1,2,0,3,Periferia,Baja,1777.03
45.5,4,3,0,49,Periferia,Media,1081.27
37.4,3,2,1,32,Periferia,Baja,710.97
78.6,2,2,0,26,Residencial,Alta,1729.4
89.6,1,3,2,6,Industrial,Baja,1378.46
79.2,5,2,1,5,Periferia,Baja,1513.42
30.0,2,3,0,14,Residencial,Media,812.61
77.8,2,3,1,17,Residencial,Media,1643.16
47.4,1,2,1,31,Periferia,Alta,1045.15
96.7,2,2,1,10,Periferia,Baja,1653.27
89.2,5,1,0,19,Residencial,Media,1941.49
56.5,2,3,2,23,Periferia,Alta,1526.5
67.2,5,1,2,14,Residencial,Alta,1851.03
53.5,1,2,0,47,Periferia,Baja,720.79
78.4,3,1,1,6,Industrial,Baja,1130.32
103.9,2,3,0,20,Centro,Baja,2100.69
55.4,3,1,0,41,Centro,Media,1421.76
92.6,5,3,0,25,Residencial,Alta,2179.03
66.7,2,2,1,43,Centro,Alta,1893.34
60.2,4,2,0,13,Centro,Alta,2004.12
77.3,3,3,1,36,Periferia,Alta,1666.99
54.1,2,2,0,20,Centro,Alta,1621.99
66.2,3,2,2,17,Centro,Alta,1994.33
50.1,2,2,0,4,Industrial,Media,1067.34
129.1,1,2,0,2,Centro,Baja,2294.47
80.9,3,3,2,22,Residencial,Media,1717.53
62.5,4,1,1,25,Residencial,Baja,1248.26
85.3,4,1,1,36,Industrial,Media,1155.96
77.2,5,2,0,23,Centro,Alta,1843.2
74.5,2,1,2,48,Residencial,Alta,1518.99
95.4,3,1,1,18,Periferia,Alta,1604.82
98.9,5,2,0,24,Residencial,Alta,1958.45
66.7,3,2,2,20,Residencial,Media,1620.53
65.6,2,1,1,11,Residencial,Alta,1550.36
73.1,4,3,1,40,Periferia,Alta,1540.16
30.0,1,2,2,32,Residencial,Alta,1186.51
42.1,4,3,2,49,Periferia,Baja,1006.65
114.2,5,1,2,3,Residencial,Media,2397.29
121.1,1,2,2,41,Industrial,Media,1606.2
73.8,5,3,0,6,Centro,Alta,2246.78
94.4,2,2,2,21,Industrial,Media,1463.77
87.8,1,1,1,32,Centro,Media,1760.47
157.0,5,3,1,16,Centro,Media,3120.15
108.0,2,1,0,23,Centro,Baja,1853.78
76.8,4,1,1,33,Periferia,Alta,1658.96
56.1,2,2,1,27,Residencial,Baja,1169.99
39.8,3,3,2,42,Centro,Baja,1155.79
85.1,2,1,1,40,Centro,Alta,1886.55
61.1,2,1,0,38,Industrial,Media,765.47
44.4,3,3,2,21,Residencial,Baja,1440.38
63.8,5,1,2,48,Residencial,Alta,1472.31
53.0,5,1,0,16,Residencial,Media,1397.44
122.2,2,3,2,33,Residencial,Baja,1918.84
102.0,3,3,2,5,Centro,Media,2390.29
79.8,3,3,0,45,Periferia,Alta,1384.86
117.0,4,3,2,5,Residencial,Media,2408.33
81.9,5,2,0,33,Centro,Alta,1944.97
58.5,1,3,0,0,Residencial,Media,1227.31
118.1,5,2,1,9,Centro,Alta,2595.32
93.5,5,2,1,20,Periferia,Media,1740.64
54.1,4,2,2,4,Periferia,Media,1417.31
75.2,1,1,2,1,Residencial,Media,1743.0
58.1,4,2,0,21,Periferia,Media,1403.44
45.4,1,2,2,47,Residencial,Media,1146.22
