usuario_edad,usuario_genero,pelicula_duracion,pelicula_genero,temporada_visita,años_desde_estreno,veces_vista_pelicula,dispositivo_usuario,idioma_preferido,duracion_vista_real,popularidad_streaming,rating_promedio_usuario
56,Masculino,175,Drama,Verano,10,1337,Smart TV,Inglés,156,6134,2.16
58,Femenino,150,Drama,Primavera,1,8797,Móvil,Inglés,69,6977,1.64
45,Femenino,142,Comedia,Verano,12,5340,Computadora,Inglés,131,8721,4.72
24,Femenino,75,Comedia,Verano,10,4915,Smart TV,Inglés,70,8035,4.23
26,Masculino,176,Drama,Primavera,9,9686,Computadora,Inglés,168,2484,3.53
25,Masculino,158,Comedia,Verano,2,356,Smart TV,Inglés,107,8858,4.49
29,Femenino,108,Comedia,Verano,12,1820,Smart TV,Español,49,1863,4.21
51,Masculino,129,Drama,Primavera,6,7447,Smart TV,Inglés,48,3790,1.75
50,Femenino,97,Comedia,Primavera,1,7176,Móvil,Español,86,8408,4.57
40,Femenino,166,Comedia,Primavera,0,1171,Móvil,Inglés,167,9755,3.16
41,Femenino,123,Comedia,Primavera,8,1722,Smart TV,Español,100,6116,4.23
54,Femenino,106,Drama,Primavera,5,2166,Móvil,Inglés,44,7019,4.58
52,Femenino,78,Comedia,Verano,8,9361,Computadora,Inglés,81,2757,2.27
61,Masculino,151,Acción,Primavera,11,8742,Móvil,Inglés,164,8574,1.44
57,Femenino,125,Acción,Primavera,2,997,Móvil,Español,80,7374,1.91
39,Masculino,128,Drama,Primavera,2,5275,Computadora,Español,99,7892,2.71
44,Masculino,154,Acción,Primavera,9,8373,Computadora,Inglés,141,2678,4.27
52,Femenino,71,Drama,Verano,11,9028,Computadora,Español,63,4242,4.44
18,Femenino,130,Acción,Verano,2,4274,Smart TV,Inglés,139,5636,1.03
52,Masculino,127,Acción,Primavera,1,5881,Computadora,Español,49,2059,3.04
54,Masculino,176,Acción,Primavera,12,4044,Computadora,Español,134,7668,2.67
64,Masculino,129,Drama,Primavera,10,6526,Computadora,Español,110,4157,1.89
31,Femenino,171,Drama,Verano,5,5535,Smart TV,Inglés,173,6915,1.48
20,Masculino,109,Comedia,Primavera,2,9983,Móvil,Español,108,3693,2.35
18,Femenino,105,Drama,Verano,4,9471,Smart TV,Español,113,4627,4.77
22,Femenino,176,Acción,Primavera,12,3035,Móvil,Inglés,124,6450,2.29
43,Femenino,106,Acción,Verano,10,5933,Computadora,Inglés,102,2663,3.08
31,Masculino,148,Drama,Primavera,4,8188,Smart TV,Español,94,6592,3.81
56,Femenino,161,Drama,Primavera,9,561,Smart TV,Español,102,8392,2.45
44,Femenino,87,Drama,Primavera,2,216,Móvil,Inglés,43,2306,4.89
26,Femenino,167,Comedia,Primavera,2,5885,Smart TV,Inglés,159,7776,4.85
32,Femenino,132,Acción,Verano,0,6607,Smart TV,Inglés,143,6864,2.01
32,Femenino,91,Comedia,Verano,5,9946,Móvil,Inglés,45,8526,2.99
43,Masculino,80,Comedia,Verano,2,5930,Smart TV,Inglés,27,9901,2.2
59,Femenino,127,Acción,Verano,0,4661,Smart TV,Español,120,6575,2.14
30,Femenino,126,Acción,Primavera,12,8227,Computadora,Inglés,100,6530,1.15
49,Masculino,146,Drama,Verano,12,759,Computadora,Inglés,155,5413,3.44
56,Femenino,73,Drama,Primavera,9,2222,Computadora,Español,36,4748,3.01
49,Masculino,155,Comedia,Verano,8,1686,Computadora,Inglés,55,1663,1.21
21,Femenino,76,Drama,Primavera,10,4782,Computadora,Inglés,52,2998,2.11
47,Masculino,130,Drama,Verano,0,6899,Smart TV,Inglés,47,8994,4.63
54,Masculino,176,Acción,Verano,4,8926,Smart TV,Español,89,2495,1.96
40,Femenino,123,Acción,Primavera,4,7087,Computadora,Inglés,49,4304,1.58
56,Femenino,157,Drama,Primavera,1,8075,Móvil,Inglés,75,4763,2.96
62,Femenino,137,Acción,Primavera,12,2982,Computadora,Inglés,52,6232,4.94
32,Masculino,161,Drama,Primavera,0,5349,Smart TV,Inglés,171,2853,1.97
60,Masculino,148,Acción,Primavera,5,2911,Móvil,Español,77,7585,3.69
46,Masculino,70,Acción,Primavera,6,5627,Computadora,Español,45,2291,4.05
53,Femenino,124,Acción,Primavera,10,1984,Móvil,Inglés,126,4581,1.95
30,Masculino,72,Acción,Primavera,10,9810,Computadora,Inglés,60,8554,3.91
49,Masculino,147,Drama,Primavera,8,8913,Smart TV,Inglés,116,8280,2.47
24,Femenino,107,Comedia,Primavera,7,5173,Computadora,Inglés,92,2636,3.53
39,Masculino,70,Acción,Primavera,9,9829,Móvil,Inglés,67,4696,3.53
45,Masculino,171,Drama,Primavera,2,5516,Smart TV,Inglés,171,1698,3.14
19,Femenino,107,Drama,Primavera,8,5900,Computadora,Inglés,87,5737,1.36
59,Masculino,154,Acción,Primavera,0,6995,Computadora,Español,155,1854,4.34
62,Femenino,98,Comedia,Primavera,12,6415,Computadora,Inglés,71,9164,2.28
23,Femenino,74,Acción,Primavera,5,5030,Computadora,Español,38,6855,1.75
45,Femenino,143,Drama,Primavera,12,2465,Smart TV,Español,143,8392,1.16
45,Femenino,161,Comedia,Primavera,9,954,Smart TV,Inglés,118,7528,3.36
61,Femenino,90,Drama,Primavera,1,2828,Computadora,Español,92,6249,3.71
61,Masculino,140,Acción,Primavera,9,1015,Smart TV,Español,46,6172,1.07
37,Masculino,136,Comedia,Verano,8,7273,Móvil,Español,84,2707,3.05
47,Femenino,178,Drama,Verano,8,5038,Smart TV,Inglés,188,6791,1.91
28,Femenino,116,Drama,Primavera,7,231,Móvil,Español,57,6535,3.58
45,Masculino,153,Drama,Verano,12,9408,Móvil,Español,161,5931,1.7
42,Femenino,152,Acción,Primavera,10,3693,Smart TV,Inglés,161,4510,3.76
56,Femenino,104,Comedia,Primavera,6,9152,Computadora,Inglés,104,1202,2.55
50,Femenino,137,Acción,Primavera,5,393,Smart TV,Español,102,5218,4.75
18,Masculino,138,Acción,Primavera,1,9291,Móvil,Inglés,112,9958,1.55
44,Masculino,70,Acción,Primavera,3,3785,Móvil,Inglés,69,5389,2.36
30,Femenino,137,Comedia,Primavera,9,8116,Smart TV,Español,126,3327,1.45
58,Femenino,81,Acción,Primavera,6,7862,Móvil,Español,65,9004,4.7
20,Masculino,129,Acción,Primavera,12,6946,Smart TV,Español,140,3931,4.51
56,Masculino,96,Acción,Primavera,5,7684,Smart TV,Inglés,81,8777,2.03
23,Femenino,125,Acción,Primavera,8,7410,Computadora,Español,135,1197,3.64
25,Femenino,175,Drama,Primavera,12,5456,Móvil,Español,60,8125,4.27
44,Masculino,92,Acción,Primavera,12,386,Smart TV,Inglés,37,2930,3.22
26,Masculino,94,Drama,Verano,4,8741,Móvil,Inglés,62,7287,3.12
54,Masculino,90,Acción,Verano,11,6686,Smart TV,Inglés,54,9800,1.97
50,Femenino,130,Comedia,Verano,11,5403,Smart TV,Inglés,120,5282,1.37
59,Masculino,132,Drama,Primavera,5,3216,Computadora,Español,56,3511,4.59
61,Femenino,121,Drama,Primavera,9,5974,Smart TV,Español,130,1659,4.6
41,Masculino,157,Drama,Primavera,5,7070,Computadora,Español,86,3811,3.53
32,Masculino,94,Drama,Verano,7,8248,Móvil,Inglés,60,8098,2.36
49,Masculino,178,Comedia,Primavera,7,8544,Computadora,Español,92,7546,2.4
49,Masculino,124,Acción,Verano,5,9711,Computadora,Inglés,94,2986,3.9
41,Femenino,115,Drama,Verano,7,1335,Móvil,Inglés,39,9338,4.59
58,Femenino,101,Comedia,Primavera,6,1099,Computadora,Inglés,42,3911,4.55
29,Masculino,124,Drama,Primavera,0,3860,Computadora,Español,111,2734,4.12
56,Femenino,165,Acción,Verano,4,4216,Smart TV,Inglés,74,2843,3.57
19,Masculino,74,Drama,Verano,10,4511,Computadora,Español,36,9680,1.34
20,Masculino,105,Comedia,Primavera,9,5657,Smart TV,Español,98,3976,1.65
54,Masculino,179,Acción,Verano,9,9738,Computadora,Español,67,2959,4.59
34,Masculino,175,Comedia,Primavera,12,5452,Móvil,Inglés,113,6759,3.43
19,Femenino,118,Acción,Verano,9,3783,Móvil,Español,37,7694,1.04
19,Masculino,175,Acción,Primavera,4,2361,Computadora,Español,101,3385,1.41
45,Masculino,127,Acción,Primavera,9,1953,Smart TV,Inglés,109,5736,3.65
40,Femenino,108,Drama,Verano,8,8891,Computadora,Español,40,2802,1.02
54,Masculino,149,Comedia,Primavera,6,6995,Smart TV,Inglés,150,9155,1.64
49,Masculino,166,Comedia,Primavera,6,3090,Computadora,Español,170,9120,3.19
50,Masculino,154,Comedia,Primavera,9,962,Móvil,Inglés,59,7616,3.77
18,Femenino,130,Acción,Verano,1,4627,Móvil,Inglés,142,6534,3.61
36,Masculino,78,Drama,Verano,7,1319,Smart TV,Inglés,41,5061,1.9
19,Femenino,75,Acción,Primavera,2,3895,Computadora,Inglés,27,1262,3.85
61,Masculino,178,Comedia,Primavera,8,627,Smart TV,Inglés,54,7287,1.95
43,Masculino,104,Drama,Verano,5,7469,Móvil,Español,65,9815,2.3
49,Femenino,108,Drama,Primavera,8,3022,Smart TV,Español,86,3049,3.99
23,Masculino,91,Drama,Primavera,8,5949,Computadora,Español,51,6423,3.6
49,Masculino,110,Comedia,Primavera,6,1262,Smart TV,Español,106,5548,4.4
21,Femenino,74,Drama,Verano,9,946,Computadora,Inglés,64,4108,3.63
28,Femenino,111,Drama,Primavera,11,7059,Computadora,Inglés,64,8158,3.27
34,Femenino,156,Acción,Verano,7,3186,Móvil,Español,138,8400,1.37
55,Femenino,150,Acción,Primavera,1,3383,Computadora,Inglés,157,4170,2.47
41,Femenino,145,Drama,Verano,4,3423,Computadora,Español,54,3255,2.06
22,Masculino,156,Drama,Primavera,2,545,Computadora,Inglés,85,2154,1.98
51,Femenino,149,Acción,Primavera,0,1125,Smart TV,Inglés,99,5499,4.89
23,Masculino,136,Acción,Primavera,12,1459,Móvil,Español,94,7295,2.57
39,Masculino,99,Acción,Primavera,5,8310,Smart TV,Español,72,7197,4.57
28,Masculino,126,Comedia,Primavera,12,6213,Smart TV,Inglés,68,2648,3.52
33,Femenino,155,Comedia,Primavera,11,8852,Móvil,Español,129,6539,4.18
50,Femenino,142,Acción,Primavera,8,571,Smart TV,Español,115,5199,3.01
26,Masculino,98,Drama,Primavera,1,127,Smart TV,Español,74,9445,3.31
23,Femenino,106,Acción,Verano,8,8851,Computadora,Español,41,3557,2.97
33,Femenino,156,Comedia,Verano,7,3336,Smart TV,Inglés,106,6592,1.78
46,Femenino,82,Drama,Primavera,10,9236,Móvil,Inglés,47,1098,3.89
20,Femenino,101,Comedia,Verano,8,4048,Smart TV,Inglés,69,3200,2.12
37,Masculino,115,Drama,Primavera,4,6272,Computadora,Inglés,119,3961,1.1
53,Masculino,92,Comedia,Verano,12,2079,Smart TV,Español,62,5973,3.58
36,Femenino,114,Drama,Primavera,1,5021,Móvil,Español,35,5433,1.71
43,Masculino,86,Drama,Verano,9,9107,Computadora,Español,55,3869,4.76
20,Femenino,173,Drama,Verano,9,2426,Smart TV,Inglés,165,1956,4.82
36,Femenino,154,Drama,Verano,5,2430,Móvil,Inglés,142,9352,4.66
37,Masculino,135,Comedia,Primavera,6,7746,Móvil,Inglés,95,6699,2.48
49,Masculino,170,Comedia,Primavera,2,1102,Smart TV,Inglés,84,7944,1.06
24,Masculino,75,Drama,Verano,5,9834,Smart TV,Español,50,5493,4.71
58,Femenino,177,Drama,Verano,5,6548,Computadora,Español,132,5911,2.71
50,Masculino,87,Comedia,Primavera,7,6937,Smart TV,Español,95,4987,4.87
57,Femenino,163,Drama,Primavera,0,6567,Computadora,Inglés,132,7015,4.85
56,Masculino,91,Drama,Verano,3,9521,Smart TV,Inglés,77,2218,4.41
35,Masculino,102,Drama,Primavera,0,7454,Móvil,Inglés,70,5496,2.18
57,Femenino,99,Acción,Primavera,7,2629,Móvil,Inglés,57,5735,2.54
18,Femenino,150,Drama,Primavera,1,1530,Móvil,Inglés,142,5555,4.4
28,Femenino,176,Acción,Verano,7,4012,Móvil,Inglés,122,9050,2.27
45,Femenino,101,Drama,Verano,2,1632,Computadora,Español,110,4446,1.68
42,Femenino,111,Comedia,Verano,7,1992,Móvil,Inglés,73,2045,3.23
40,Femenino,147,Acción,Verano,5,1521,Computadora,Inglés,52,7893,4.74
48,Femenino,79,Acción,Primavera,0,8682,Computadora,Inglés,66,2693,3.78
47,Femenino,105,Drama,Primavera,6,5868,Computadora,Español,35,4436,3.28
59,Masculino,103,Drama,Verano,12,2918,Smart TV,Español,51,9754,1.39
52,Femenino,142,Acción,Primavera,6,5717,Computadora,Inglés,82,6895,3.46
24,Femenino,175,Comedia,Verano,5,1295,Smart TV,Español,156,4354,4.96
33,Masculino,97,Comedia,Primavera,0,6329,Computadora,Español,67,1225,1.56
43,Femenino,80,Drama,Primavera,4,9149,Smart TV,Español,25,5893,3.07
19,Masculino,147,Comedia,Primavera,0,5405,Smart TV,Inglés,116,8022,4.51
18,Masculino,108,Comedia,Primavera,0,9808,Móvil,Español,67,6600,3.96
29,Femenino,116,Drama,Primavera,5,8177,Computadora,Español,120,8996,3.79
22,Masculino,88,Comedia,Primavera,7,9445,Smart TV,Español,61,8683,3.81
54,Femenino,84,Drama,Primavera,0,942,Móvil,Inglés,72,5642,2.44
49,Masculino,97,Acción,Primavera,1,5300,Computadora,Español,46,8679,2.17
26,Masculino,93,Drama,Primavera,4,6021,Móvil,Inglés,84,9208,4.24
58,Masculino,141,Acción,Verano,7,9974,Smart TV,Español,123,8339,4.24
52,Femenino,176,Acción,Primavera,10,394,Móvil,Inglés,180,3205,4.47
36,Femenino,78,Comedia,Primavera,3,6197,Móvil,Inglés,25,2069,4.65
33,Masculino,116,Comedia,Primavera,4,6512,Computadora,Inglés,76,4444,3.05
20,Masculino,102,Comedia,Primavera,9,8936,Smart TV,Inglés,86,2060,3.01
37,Femenino,131,Drama,Primavera,4,6778,Computadora,Inglés,49,3327,4.19
41,Femenino,166,Comedia,Primavera,2,5120,Computadora,Español,104,4420,3.6
50,Masculino,88,Acción,Primavera,5,5843,Móvil,Español,92,1301,3.81
41,Masculino,136,Comedia,Primavera,4,210,Smart TV,Español,88,1606,4.18
28,Femenino,143,Comedia,Primavera,1,8875,Computadora,Inglés,155,4170,4.56
25,Femenino,109,Drama,Primavera,9,9778,Smart TV,Inglés,37,1699,2.35
53,Femenino,116,Drama,Primavera,3,4964,Computadora,Inglés,101,6088,2.5
55,Femenino,175,Acción,Primavera,10,1748,Móvil,Español,133,1190,1.38
57,Femenino,134,Drama,Primavera,3,6481,Computadora,Inglés,93,1980,3.31
37,Masculino,98,Comedia,Verano,6,2481,Computadora,Inglés,105,3975,1.14
52,Femenino,119,Drama,Verano,6,205,Computadora,Inglés,48,7102,2.86
42,Masculino,167,Acción,Primavera,8,5918,Smart TV,Inglés,169,2184,3.17
52,Femenino,82,Comedia,Primavera,9,9986,Móvil,Español,69,4327,2.15
42,Masculino,70,Acción,Primavera,11,481,Smart TV,Inglés,35,4394,3.36
46,Femenino,103,Drama,Primavera,1,4456,Computadora,Inglés,105,9319,1.12
35,Femenino,162,Drama,Primavera,5,6018,Móvil,Inglés,104,2816,1.15
63,Masculino,117,Acción,Primavera,1,1416,Smart TV,Inglés,111,6854,4.29
35,Masculino,146,Comedia,Primavera,8,5554,Computadora,Español,89,7709,2.44
19,Femenino,117,Drama,Primavera,1,4174,Móvil,Inglés,114,1569,1.51
52,Femenino,118,Drama,Primavera,5,4904,Móvil,Español,95,6442,3.09
33,Femenino,133,Comedia,Verano,7,1006,Computadora,Español,54,2895,4.08
58,Femenino,130,Drama,Verano,5,7721,Móvil,Inglés,106,3733,1.86
53,Femenino,98,Acción,Verano,11,762,Móvil,Inglés,44,4863,3.49
50,Masculino,108,Drama,Primavera,2,6818,Smart TV,Español,67,8455,1.34
21,Masculino,157,Drama,Primavera,4,8754,Móvil,Inglés,68,5014,1.21
50,Femenino,95,Comedia,Primavera,3,1042,Smart TV,Inglés,30,2686,3.13
31,Masculino,86,Acción,Verano,0,8449,Smart TV,Español,40,4009,3.16
38,Masculino,140,Comedia,Primavera,4,6515,Smart TV,Español,102,8806,3.55
37,Masculino,82,Drama,Primavera,9,3409,Smart TV,Español,56,1154,3.9
25,Femenino,138,Drama,Primavera,11,1426,Móvil,Español,96,2409,4.9
24,Masculino,95,Comedia,Verano,4,2206,Móvil,Español,47,1784,3.07
20,Femenino,118,Comedia,Primavera,6,4899,Smart TV,Español,100,9096,2.29
34,Masculino,136,Comedia,Primavera,11,8939,Móvil,Inglés,117,8560,4.18
50,Femenino,76,Acción,Verano,6,3038,Smart TV,Inglés,44,8343,2.08
29,Masculino,127,Drama,Verano,1,2583,Smart TV,Inglés,127,8206,2.76
39,Femenino,118,Comedia,Primavera,3,1475,Smart TV,Inglés,96,6596,1.31
39,Femenino,172,Drama,Verano,0,7956,Computadora,Inglés,149,6801,1.1
63,Masculino,122,Acción,Primavera,12,344,Móvil,Inglés,63,3806,4.85
47,Femenino,134,Acción,Primavera,4,2448,Móvil,Inglés,40,1537,4.34
55,Femenino,131,Acción,Verano,4,9159,Smart TV,Inglés,129,6986,3.78
55,Femenino,86,Acción,Primavera,3,579,Móvil,Inglés,82,2841,2.64
62,Femenino,112,Drama,Primavera,9,2035,Smart TV,Español,44,9716,1.69
25,Femenino,94,Acción,Primavera,11,5857,Móvil,Español,56,7971,1.63
44,Femenino,72,Acción,Primavera,11,187,Smart TV,Inglés,59,6625,2.0
44,Femenino,148,Comedia,Primavera,6,9532,Smart TV,Inglés,121,3950,3.2
51,Femenino,98,Acción,Verano,5,8864,Computadora,Español,96,8992,3.86
38,Masculino,176,Comedia,Verano,12,9105,Smart TV,Español,72,5780,3.64
47,Masculino,101,Acción,Primavera,9,278,Computadora,Español,65,3368,2.12
50,Femenino,95,Acción,Verano,2,262,Móvil,Inglés,35,7655,4.82
45,Femenino,85,Comedia,Primavera,1,2740,Móvil,Español,51,9173,3.95
64,Masculino,94,Acción,Primavera,3,9297,Computadora,Español,29,5495,3.22
50,Masculino,123,Drama,Primavera,8,2448,Móvil,Español,125,7002,3.45
22,Masculino,97,Drama,Primavera,9,2521,Computadora,Inglés,69,7614,2.68
36,Femenino,142,Acción,Primavera,4,4398,Móvil,Español,139,6919,1.99
21,Masculino,125,Drama,Verano,0,4242,Computadora,Inglés,43,1853,2.42
52,Femenino,134,Comedia,Verano,10,4603,Computadora,Español,64,5146,4.03
34,Femenino,162,Acción,Primavera,2,1317,Smart TV,Español,82,4769,1.06
